city	city_name	city_state	polX	polY	eff
EDI	Edinburgh	GBR	291,5122	362,3745	63
HAN	Hanoi	VNM	416,8765	459,5542	63
HAW	Hawalli	KWT	377,9014	350,3652	62
LPL	Liverpool	GBR	291,499	357,7012	61
SEA	Seattle	USA	229,0503	466,7437	61
BZV	Brazzaville	COG	340,5693	258,1973	60
TRN	Torino	ITA	306,062	343,0391	60
ULN	Ulan Bator	MNG	369,124	447,5283	60
KUL	Kuala Lumpur	MYS	451,1025	457,29	59
BGF	Bangui	CAF	345,0181	275,9961	58
KTM	Kathmandu	NPL	409,1426	415,6523	58
KWI	Kuwait City	KWT	377,9014	350,3652	58
MPM	Maputo	MOZ	409,436	245,8516	58
OPO	Porto	PRT	281,5415	336,1177	57
TLL	Tallinn	EST	318,5776	373,8662	57
AUH	Abu Dhabi	ARE	392,8828	354,8467	54
BOD	Bordeaux	FRA	294,1641	341,8721	54
AKL	Auckland	NZL	316,21	656,5242	53
HNL	Honolulu	USA	247,3379	541,8511	53
RIX	Riga	LVA	319,8682	369,4189	53
ASU	Asuncion	PRY	116,4741	311,8623	52
KYO	Kyoto	JPN	365,5552	497,4727	51
GLA	Glasgow	GBR	290,332	362,2954	47
HOU	Houston	USA	184,7515	435,4409	46
TAS	Tashkent	UZB	378,8086	393,2793	46
HIR	Hiroshima	JPN	370,4717	494,0488	45
DET	Detroit	USA	207,9165	414,3779	43
OUA	Ouagadougou	BFA	291,1841	282,4902	43
PAP1	Port-au-Prince	HTI	169,9092	385,166	43
SJJ	Sarajevo	BIH	321,8276	344,4165	42
VLC	Valencia	ESP	294,3887	332,0269	42
AST	Astana	KAZ	362,7729	402,2534	41
VNO	Vilnius	LTU	322,7749	366,1885	40
PHL	Philadelphia	USA	205,979	401,4194	39
ZAG	Zagreb	HRV	317,3906	346,8042	39
JED	Jeddah	SAU	374,4565	327,4829	38
ATL	Atlanta	USA	192,1382	414,8237	37
VAT	Vatican City	VAT	314,0952	338,5684	37
MSY	New Orleans	USA	184,606	425,1929	36
SGN	Ho Chi Minh	VNM	434,3838	466,7178	36
TLS	Toulouse	FRA	297,1504	339,6328	36
NIM	Niamey	NER	300,1777	284,6313	35
TIA	Tirana	ALB	325,3848	340,7495	35
DYU	Dushanbe	TJK	383,2148	390,7407	34
IBZ	Ibiza	ESP	297,3496	331,0254	34
